GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than $100,Margin of Error; Total: - Less than $100,Estimate; Total: - $100 to $199,Margin of Error; Total: - $100 to $199,Estimate; Total: - $200 to $299,Margin of Error; Total: - $200 to $299,Estimate; Total: - $300 to $399,Margin of Error; Total: - $300 to $399,Estimate; Total: - $400 to $499,Margin of Error; Total: - $400 to $499,Estimate; Total: - $500 to $599,Margin of Error; Total: - $500 to $599,Estimate; Total: - $600 to $699,Margin of Error; Total: - $600 to $699,Estimate; Total: - $700 to $799,Margin of Error; Total: - $700 to $799,Estimate; Total: - $800 to $899,Margin of Error; Total: - $800 to $899,Estimate; Total: - $900 to $999,Margin of Error; Total: - $900 to $999,"Estimate; Total: - $1,000 to $1,499","Margin of Error; Total: - $1,000 to $1,499","Estimate; Total: - $1,500 to $1,999","Margin of Error; Total: - $1,500 to $1,999","Estimate; Total: - $2,000 or more","Margin of Error; Total: - $2,000 or more",Estimate; Total: - No cash rent,Margin of Error; Total: - No cash rent
0500000US25001,25001,"Barnstable County, Massachusetts",94479,3189,253,173,623,297,2091,819,3099,813,4936,910,6055,1085,4743,928,5515,1042,4266,955,5459,1144,20037,2169,16866,1610,19306,1886,1230,502
0500000US25003,25003,"Berkshire County, Massachusetts",54963,1736,135,152,870,349,2010,656,3661,816,3429,674,3717,728,4912,1115,3526,777,5426,914,3787,1126,11203,1370,6340,1133,4930,908,1017,515
0500000US25005,25005,"Bristol County, Massachusetts",212609,2253,823,540,2783,861,6518,1203,7933,1339,12663,1722,13700,1543,17735,1923,16370,1847,12872,1863,14644,2093,40534,3050,29563,2456,33569,2410,2902,877
0500000US25009,25009,"Essex County, Massachusetts",286891,2443,1592,535,2441,852,6172,1018,9211,1680,8305,1661,10758,1450,13033,1867,14025,1954,14966,1813,16461,2238,69243,3638,42969,3500,73389,3161,4326,1272
0500000US25011,25011,"Franklin County, Massachusetts",30990,752,132,137,554,290,911,345,1584,538,1657,436,2424,531,2010,496,2199,548,1778,481,1986,542,7687,931,3880,797,3480,555,708,496
0500000US25013,25013,"Hampden County, Massachusetts",175846,2359,472,243,2582,827,7137,1174,8871,1540,10437,1482,13097,1466,13314,1846,13166,2051,12686,1638,11481,1643,41739,3531,23231,1946,15664,1964,1969,531
0500000US25015,25015,"Hampshire County, Massachusetts",59101,1410,50,66,241,325,1240,625,1565,513,3242,907,3733,1012,3765,931,3403,734,3214,802,2955,771,14670,1730,11427,1524,8703,1468,893,552
0500000US25017,25017,"Middlesex County, Massachusetts",584142,3922,1400,513,4238,1107,10998,1731,10226,1731,13797,1458,18673,2294,19855,2232,23303,2318,22548,2314,28898,2156,124800,5428,108749,4840,190907,5394,5750,1104
0500000US25021,25021,"Norfolk County, Massachusetts",259006,2229,786,531,1190,478,5075,1302,5999,1214,5255,1100,8488,1410,8700,1331,10658,1789,9378,1349,10623,1505,52135,3424,45761,3298,91896,3741,3062,1030
0500000US25023,25023,"Plymouth County, Massachusetts",177399,2615,252,210,963,361,4106,909,3188,929,4023,912,7036,1118,8283,1415,8885,1356,8205,1313,7543,1407,34697,2870,32250,2527,55320,2813,2648,801
0500000US25025,25025,"Suffolk County, Massachusetts",290581,2616,2412,852,4323,1050,12783,1812,10043,1489,8976,1287,9734,1551,10264,2017,9938,1701,9241,1324,12072,1980,67245,3463,56733,3485,73090,3880,3727,1142
0500000US25027,25027,"Worcester County, Massachusetts",300998,2891,755,583,2010,739,7178,1164,8027,1135,14847,1856,14207,1661,18087,1947,20411,2272,18300,2082,20436,2586,67759,2913,46753,2871,59289,2947,2939,778
